Daniel Suarez
Radius Meter Radius Approximation using a circular assumption and splitting interval into 1000 equal parts (for increment).


For X = 7002.5 Average Radius = 56390.7


x(R=56390.7)		f(x,56390.7)
-3500		0.0777475
-3490		0.698724
-3480		1.31792
-3470		1.93533
-3460		2.55095
-3450		3.1648
-3440		3.77686
-3430		4.38713
-3420		4.99563
-3410		5.60234
-3400		6.20726
-3390		6.81041
-3380		7.41177
-3370		8.01134
-3360		8.60914
-3350		9.20515
-3340		9.79938
-3330		10.3918
-3320		10.9825
-3310		11.5714
-3300		12.1585
-3290		12.7438
-3280		13.3273
-3270		13.9091
-3260		14.489
-3250		15.0672
-3240		15.6436
-3230		16.2183
-3220		16.7911
-3210		17.3622
-3200		17.9314
-3190		18.4989
-3180		19.0646
-3170		19.6286
-3160		20.1907
-3150		20.7511
-3140		21.3097
-3130		21.8665
-3120		22.4215
-3110		22.9747
-3100		23.5262
-3090		24.0759
-3080		24.6238
-3070		25.1699
-3060		25.7142
-3050		26.2568
-3040		26.7975
-3030		27.3365
-3020		27.8737
-3010		28.4092
-3000		28.9428
-2990		29.4747
-2980		30.0048
-2970		30.5331
-2960		31.0596
-2950		31.5843
-2940		32.1073
-2930		32.6285
-2920		33.1479
-2910		33.6655
-2900		34.1814
-2890		34.6954
-2880		35.2077
-2870		35.7182
-2860		36.2269
-2850		36.7339
-2840		37.239
-2830		37.7424
-2820		38.244
-2810		38.7438
-2800		39.2418
-2790		39.7381
-2780		40.2326
-2770		40.7253
-2760		41.2162
-2750		41.7053
-2740		42.1927
-2730		42.6783
-2720		43.1621
-2710		43.6441
-2700		44.1244
-2690		44.6028
-2680		45.0795
-2670		45.5544
-2660		46.0275
-2650		46.4989
-2640		46.9684
-2630		47.4362
-2620		47.9022
-2610		48.3665
-2600		48.8289
-2590		49.2896
-2580		49.7485
-2570		50.2056
-2560		50.6609
-2550		51.1145
-2540		51.5662
-2530		52.0162
-2520		52.4645
-2510		52.9109
-2500		53.3556
-2490		53.7984
-2480		54.2395
-2470		54.6789
-2460		55.1164
-2450		55.5522
-2440		55.9862
-2430		56.4184
-2420		56.8488
-2410		57.2775
-2400		57.7044
-2390		58.1295
-2380		58.5528
-2370		58.9743
-2360		59.3941
-2350		59.8121
-2340		60.2283
-2330		60.6427
-2320		61.0554
-2310		61.4662
-2300		61.8753
-2290		62.2827
-2280		62.6882
-2270		63.092
-2260		63.4939
-2250		63.8942
-2240		64.2926
-2230		64.6892
-2220		65.0841
-2210		65.4772
-2200		65.8685
-2190		66.2581
-2180		66.6458
-2170		67.0318
-2160		67.416
-2150		67.7985
-2140		68.1791
-2130		68.558
-2120		68.9351
-2110		69.3104
-2100		69.684
-2090		70.0558
-2080		70.4258
-2070		70.794
-2060		71.1604
-2050		71.5251
-2040		71.888
-2030		72.2491
-2020		72.6084
-2010		72.966
-2000		73.3218
-1990		73.6758
-1980		74.028
-1970		74.3784
-1960		74.7271
-1950		75.074
-1940		75.4191
-1930		75.7625
-1920		76.104
-1910		76.4438
-1900		76.7818
-1890		77.1181
-1880		77.4525
-1870		77.7852
-1860		78.1161
-1850		78.4453
-1840		78.7726
-1830		79.0982
-1820		79.422
-1810		79.744
-1800		80.0643
-1790		80.3828
-1780		80.6995
-1770		81.0144
-1760		81.3275
-1750		81.6389
-1740		81.9485
-1730		82.2563
-1720		82.5624
-1710		82.8666
-1700		83.1691
-1690		83.4699
-1680		83.7688
-1670		84.066
-1660		84.3614
-1650		84.655
-1640		84.9468
-1630		85.2369
-1620		85.5252
-1610		85.8117
-1600		86.0964
-1590		86.3794
-1580		86.6606
-1570		86.94
-1560		87.2176
-1550		87.4935
-1540		87.7675
-1530		88.0399
-1520		88.3104
-1510		88.5791
-1500		88.8461
-1490		89.1113
-1480		89.3748
-1470		89.6364
-1460		89.8963
-1450		90.1544
-1440		90.4107
-1430		90.6653
-1420		90.9181
-1410		91.1691
-1400		91.4183
-1390		91.6658
-1380		91.9115
-1370		92.1554
-1360		92.3975
-1350		92.6379
-1340		92.8764
-1330		93.1133
-1320		93.3483
-1310		93.5815
-1300		93.813
-1290		94.0427
-1280		94.2707
-1270		94.4968
-1260		94.7212
-1250		94.9438
-1240		95.1647
-1230		95.3837
-1220		95.601
-1210		95.8165
-1200		96.0302
-1190		96.2422
-1180		96.4524
-1170		96.6608
-1160		96.8674
-1150		97.0723
-1140		97.2754
-1130		97.4767
-1120		97.6763
-1110		97.874
-1100		98.07
-1090		98.2642
-1080		98.4567
-1070		98.6473
-1060		98.8362
-1050		99.0234
-1040		99.2087
-1030		99.3923
-1020		99.5741
-1010		99.7541
-1000		99.9323
-990		100.109
-980		100.284
-970		100.456
-960		100.628
-950		100.797
-940		100.965
-930		101.13
-920		101.294
-910		101.457
-900		101.617
-890		101.776
-880		101.933
-870		102.088
-860		102.242
-850		102.393
-840		102.543
-830		102.691
-820		102.837
-810		102.982
-800		103.125
-790		103.266
-780		103.405
-770		103.542
-760		103.678
-750		103.812
-740		103.944
-730		104.074
-720		104.203
-710		104.33
-700		104.455
-690		104.578
-680		104.7
-670		104.819
-660		104.937
-650		105.053
-640		105.168
-630		105.28
-620		105.391
-610		105.5
-600		105.608
-590		105.713
-580		105.817
-570		105.919
-560		106.019
-550		106.118
-540		106.214
-530		106.309
-520		106.402
-510		106.493
-500		106.583
-490		106.671
-480		106.757
-470		106.841
-460		106.924
-450		107.004
-440		107.083
-430		107.16
-420		107.236
-410		107.309
-400		107.381
-390		107.451
-380		107.519
-370		107.586
-360		107.651
-350		107.714
-340		107.775
-330		107.834
-320		107.892
-310		107.948
-300		108.002
-290		108.054
-280		108.105
-270		108.153
-260		108.2
-250		108.246
-240		108.289
-230		108.331
-220		108.371
-210		108.409
-200		108.445
-190		108.48
-180		108.512
-170		108.544
-160		108.573
-150		108.6
-140		108.626
-130		108.65
-120		108.672
-110		108.692
-100		108.711
-90		108.728
-80		108.743
-70		108.756
-60		108.768
-50		108.778
-40		108.786
-30		108.792
-20		108.796
-10		108.799
0		108.8
10		108.799
20		108.796
30		108.792
40		108.786
50		108.778
60		108.768
70		108.756
80		108.743
90		108.728
100		108.711
110		108.692
120		108.672
130		108.65
140		108.626
150		108.6
160		108.573
170		108.544
180		108.512
190		108.48
200		108.445
210		108.409
220		108.371
230		108.331
240		108.289
250		108.246
260		108.2
270		108.153
280		108.105
290		108.054
300		108.002
310		107.948
320		107.892
330		107.834
340		107.775
350		107.714
360		107.651
370		107.586
380		107.519
390		107.451
400		107.381
410		107.309
420		107.236
430		107.16
440		107.083
450		107.004
460		106.924
470		106.841
480		106.757
490		106.671
500		106.583
510		106.493
520		106.402
530		106.309
540		106.214
550		106.118
560		106.019
570		105.919
580		105.817
590		105.713
600		105.608
610		105.5
620		105.391
630		105.28
640		105.168
650		105.053
660		104.937
670		104.819
680		104.7
690		104.578
700		104.455
710		104.33
720		104.203
730		104.074
740		103.944
750		103.812
760		103.678
770		103.542
780		103.405
790		103.266
800		103.125
810		102.982
820		102.837
830		102.691
840		102.543
850		102.393
860		102.242
870		102.088
880		101.933
890		101.776
900		101.617
910		101.457
920		101.294
930		101.13
940		100.965
950		100.797
960		100.628
970		100.456
980		100.284
990		100.109
1000		99.9323
1010		99.7541
1020		99.5741
1030		99.3923
1040		99.2087
1050		99.0234
1060		98.8362
1070		98.6473
1080		98.4567
1090		98.2642
1100		98.07
1110		97.874
1120		97.6763
1130		97.4767
1140		97.2754
1150		97.0723
1160		96.8674
1170		96.6608
1180		96.4524
1190		96.2422
1200		96.0302
1210		95.8165
1220		95.601
1230		95.3837
1240		95.1647
1250		94.9438
1260		94.7212
1270		94.4968
1280		94.2707
1290		94.0427
1300		93.813
1310		93.5815
1320		93.3483
1330		93.1133
1340		92.8764
1350		92.6379
1360		92.3975
1370		92.1554
1380		91.9115
1390		91.6658
1400		91.4183
1410		91.1691
1420		90.9181
1430		90.6653
1440		90.4107
1450		90.1544
1460		89.8963
1470		89.6364
1480		89.3748
1490		89.1113
1500		88.8461
1510		88.5791
1520		88.3104
1530		88.0399
1540		87.7675
1550		87.4935
1560		87.2176
1570		86.94
1580		86.6606
1590		86.3794
1600		86.0964
1610		85.8117
1620		85.5252
1630		85.2369
1640		84.9468
1650		84.655
1660		84.3614
1670		84.066
1680		83.7688
1690		83.4699
1700		83.1691
1710		82.8666
1720		82.5624
1730		82.2563
1740		81.9485
1750		81.6389
1760		81.3275
1770		81.0144
1780		80.6995
1790		80.3828
1800		80.0643
1810		79.744
1820		79.422
1830		79.0982
1840		78.7726
1850		78.4453
1860		78.1161
1870		77.7852
1880		77.4525
1890		77.1181
1900		76.7818
1910		76.4438
1920		76.104
1930		75.7625
1940		75.4191
1950		75.074
1960		74.7271
1970		74.3784
1980		74.028
1990		73.6758
2000		73.3218
2010		72.966
2020		72.6084
2030		72.2491
2040		71.888
2050		71.5251
2060		71.1604
2070		70.794
2080		70.4258
2090		70.0558
2100		69.684
2110		69.3104
2120		68.9351
2130		68.558
2140		68.1791
2150		67.7985
2160		67.416
2170		67.0318
2180		66.6458
2190		66.2581
2200		65.8685
2210		65.4772
2220		65.0841
2230		64.6892
2240		64.2926
2250		63.8942
2260		63.4939
2270		63.092
2280		62.6882
2290		62.2827
2300		61.8753
2310		61.4662
2320		61.0554
2330		60.6427
2340		60.2283
2350		59.8121
2360		59.3941
2370		58.9743
2380		58.5528
2390		58.1295
2400		57.7044
2410		57.2775
2420		56.8488
2430		56.4184
2440		55.9862
2450		55.5522
2460		55.1164
2470		54.6789
2480		54.2395
2490		53.7984
2500		53.3556
2510		52.9109
2520		52.4645
2530		52.0162
2540		51.5662
2550		51.1145
2560		50.6609
2570		50.2056
2580		49.7485
2590		49.2896
2600		48.8289
2610		48.3665
2620		47.9022
2630		47.4362
2640		46.9684
2650		46.4989
2660		46.0275
2670		45.5544
2680		45.0795
2690		44.6028
2700		44.1244
2710		43.6441
2720		43.1621
2730		42.6783
2740		42.1927
2750		41.7053
2760		41.2162
2770		40.7253
2780		40.2326
2790		39.7381
2800		39.2418
2810		38.7438
2820		38.244
2830		37.7424
2840		37.239
2850		36.7339
2860		36.2269
2870		35.7182
2880		35.2077
2890		34.6954
2900		34.1814
2910		33.6655
2920		33.1479
2930		32.6285
2940		32.1073
2950		31.5843
2960		31.0596
2970		30.5331
2980		30.0048
2990		29.4747
3000		28.9428
3010		28.4092
3020		27.8737
3030		27.3365
3040		26.7975
3050		26.2568
3060		25.7142
3070		25.1699
3080		24.6238
3090		24.0759
3100		23.5262
3110		22.9747
3120		22.4215
3130		21.8665
3140		21.3097
3150		20.7511
3160		20.1907
3170		19.6286
3180		19.0646
3190		18.4989
3200		17.9314
3210		17.3622
3220		16.7911
3230		16.2183
3240		15.6436
3250		15.0672
3260		14.489
3270		13.9091
3280		13.3273
3290		12.7438
3300		12.1585
3310		11.5714
3320		10.9825
3330		10.3918
3340		9.79938
3350		9.20515
3360		8.60914
3370		8.01134
3380		7.41177
3390		6.81041
3400		6.20726
3410		5.60234
3420		4.99563
3430		4.38713
3440		3.77686
3450		3.1648
3460		2.55095
3470		1.93533
3480		1.31792
3490		0.698724
3500		0.0777475

For X = 6845 Average Radius = 9373.7


x(R=9373.7)		f(x,9373.7)
-3500		-30.7935
-3490		-26.7752
-3480		-22.7703
-3470		-18.7787
-3460		-14.8004
-3450		-10.8354
-3440		-6.88365
-3430		-2.94517
-3420		0.980071
-3410		4.8921
-3400		8.79093
-3390		12.6766
-3380		16.5491
-3370		20.4084
-3360		24.2546
-3350		28.0877
-3340		31.9077
-3330		35.7146
-3320		39.5085
-3310		43.2893
-3300		47.0571
-3290		50.8118
-3280		54.5536
-3270		58.2824
-3260		61.9983
-3250		65.7012
-3240		69.3911
-3230		73.0682
-3220		76.7324
-3210		80.3837
-3200		84.0221
-3190		87.6477
-3180		91.2604
-3170		94.8603
-3160		98.4475
-3150		102.022
-3140		105.583
-3130		109.132
-3120		112.668
-3110		116.192
-3100		119.702
-3090		123.2
-3080		126.686
-3070		130.158
-3060		133.618
-3050		137.066
-3040		140.5
-3030		143.922
-3020		147.332
-3010		150.729
-3000		154.113
-2990		157.485
-2980		160.844
-2970		164.191
-2960		167.526
-2950		170.847
-2940		174.157
-2930		177.454
-2920		180.738
-2910		184.01
-2900		187.27
-2890		190.517
-2880		193.752
-2870		196.974
-2860		200.184
-2850		203.382
-2840		206.567
-2830		209.74
-2820		212.901
-2810		216.049
-2800		219.185
-2790		222.309
-2780		225.421
-2770		228.52
-2760		231.607
-2750		234.682
-2740		237.745
-2730		240.795
-2720		243.833
-2710		246.86
-2700		249.874
-2690		252.875
-2680		255.865
-2670		258.843
-2660		261.808
-2650		264.761
-2640		267.703
-2630		270.632
-2620		273.549
-2610		276.454
-2600		279.347
-2590		282.228
-2580		285.097
-2570		287.954
-2560		290.799
-2550		293.632
-2540		296.453
-2530		299.262
-2520		302.059
-2510		304.844
-2500		307.617
-2490		310.379
-2480		313.128
-2470		315.866
-2460		318.591
-2450		321.305
-2440		324.007
-2430		326.697
-2420		329.375
-2410		332.041
-2400		334.696
-2390		337.339
-2380		339.97
-2370		342.589
-2360		345.196
-2350		347.792
-2340		350.376
-2330		352.948
-2320		355.508
-2310		358.057
-2300		360.594
-2290		363.119
-2280		365.632
-2270		368.134
-2260		370.624
-2250		373.103
-2240		375.569
-2230		378.025
-2220		380.468
-2210		382.9
-2200		385.32
-2190		387.729
-2180		390.126
-2170		392.511
-2160		394.885
-2150		397.247
-2140		399.598
-2130		401.937
-2120		404.265
-2110		406.581
-2100		408.885
-2090		411.178
-2080		413.46
-2070		415.73
-2060		417.988
-2050		420.235
-2040		422.471
-2030		424.695
-2020		426.907
-2010		429.108
-2000		431.298
-1990		433.476
-1980		435.643
-1970		437.798
-1960		439.942
-1950		442.075
-1940		444.196
-1930		446.305
-1920		448.404
-1910		450.491
-1900		452.566
-1890		454.631
-1880		456.683
-1870		458.725
-1860		460.755
-1850		462.774
-1840		464.782
-1830		466.778
-1820		468.763
-1810		470.736
-1800		472.699
-1790		474.65
-1780		476.59
-1770		478.518
-1760		480.435
-1750		482.341
-1740		484.236
-1730		486.119
-1720		487.992
-1710		489.853
-1700		491.702
-1690		493.541
-1680		495.368
-1670		497.184
-1660		498.989
-1650		500.783
-1640		502.566
-1630		504.337
-1620		506.097
-1610		507.846
-1600		509.584
-1590		511.311
-1580		513.027
-1570		514.731
-1560		516.424
-1550		518.107
-1540		519.778
-1530		521.438
-1520		523.087
-1510		524.724
-1500		526.351
-1490		527.967
-1480		529.571
-1470		531.164
-1460		532.747
-1450		534.318
-1440		535.878
-1430		537.427
-1420		538.965
-1410		540.493
-1400		542.009
-1390		543.513
-1380		545.007
-1370		546.49
-1360		547.962
-1350		549.423
-1340		550.873
-1330		552.312
-1320		553.74
-1310		555.157
-1300		556.562
-1290		557.957
-1280		559.341
-1270		560.714
-1260		562.076
-1250		563.427
-1240		564.767
-1230		566.096
-1220		567.415
-1210		568.722
-1200		570.018
-1190		571.303
-1180		572.578
-1170		573.841
-1160		575.094
-1150		576.335
-1140		577.566
-1130		578.786
-1120		579.995
-1110		581.193
-1100		582.38
-1090		583.556
-1080		584.721
-1070		585.876
-1060		587.019
-1050		588.152
-1040		589.274
-1030		590.385
-1020		591.485
-1010		592.574
-1000		593.653
-990		594.72
-980		595.777
-970		596.823
-960		597.858
-950		598.882
-940		599.895
-930		600.897
-920		601.889
-910		602.87
-900		603.84
-890		604.799
-880		605.747
-870		606.685
-860		607.612
-850		608.528
-840		609.433
-830		610.327
-820		611.211
-810		612.084
-800		612.946
-790		613.797
-780		614.637
-770		615.467
-760		616.286
-750		617.094
-740		617.891
-730		618.677
-720		619.453
-710		620.218
-700		620.972
-690		621.716
-680		622.449
-670		623.171
-660		623.882
-650		624.582
-640		625.272
-630		625.951
-620		626.619
-610		627.277
-600		627.924
-590		628.56
-580		629.185
-570		629.8
-560		630.403
-550		630.996
-540		631.579
-530		632.151
-520		632.712
-510		633.262
-500		633.801
-490		634.33
-480		634.848
-470		635.356
-460		635.852
-450		636.338
-440		636.813
-430		637.278
-420		637.732
-410		638.175
-400		638.608
-390		639.029
-380		639.44
-370		639.841
-360		640.23
-350		640.609
-340		640.978
-330		641.335
-320		641.682
-310		642.019
-300		642.344
-290		642.659
-280		642.963
-270		643.257
-260		643.539
-250		643.812
-240		644.073
-230		644.324
-220		644.564
-210		644.793
-200		645.012
-190		645.22
-180		645.418
-170		645.604
-160		645.78
-150		645.946
-140		646.1
-130		646.244
-120		646.378
-110		646.501
-100		646.613
-90		646.714
-80		646.805
-70		646.885
-60		646.954
-50		647.013
-40		647.061
-30		647.098
-20		647.125
-10		647.141
0		647.146
10		647.141
20		647.125
30		647.098
40		647.061
50		647.013
60		646.954
70		646.885
80		646.805
90		646.714
100		646.613
110		646.501
120		646.378
130		646.244
140		646.1
150		645.946
160		645.78
170		645.604
180		645.418
190		645.22
200		645.012
210		644.793
220		644.564
230		644.324
240		644.073
250		643.812
260		643.539
270		643.257
280		642.963
290		642.659
300		642.344
310		642.019
320		641.682
330		641.335
340		640.978
350		640.609
360		640.23
370		639.841
380		639.44
390		639.029
400		638.608
410		638.175
420		637.732
430		637.278
440		636.813
450		636.338
460		635.852
470		635.356
480		634.848
490		634.33
500		633.801
510		633.262
520		632.712
530		632.151
540		631.579
550		630.996
560		630.403
570		629.8
580		629.185
590		628.56
600		627.924
610		627.277
620		626.619
630		625.951
640		625.272
650		624.582
660		623.882
670		623.171
680		622.449
690		621.716
700		620.972
710		620.218
720		619.453
730		618.677
740		617.891
750		617.094
760		616.286
770		615.467
780		614.637
790		613.797
800		612.946
810		612.084
820		611.211
830		610.327
840		609.433
850		608.528
860		607.612
870		606.685
880		605.747
890		604.799
900		603.84
910		602.87
920		601.889
930		600.897
940		599.895
950		598.882
960		597.858
970		596.823
980		595.777
990		594.72
1000		593.653
1010		592.574
1020		591.485
1030		590.385
1040		589.274
1050		588.152
1060		587.019
1070		585.876
1080		584.721
1090		583.556
1100		582.38
1110		581.193
1120		579.995
1130		578.786
1140		577.566
1150		576.335
1160		575.094
1170		573.841
1180		572.578
1190		571.303
1200		570.018
1210		568.722
1220		567.415
1230		566.096
1240		564.767
1250		563.427
1260		562.076
1270		560.714
1280		559.341
1290		557.957
1300		556.562
1310		555.157
1320		553.74
1330		552.312
1340		550.873
1350		549.423
1360		547.962
1370		546.49
1380		545.007
1390		543.513
1400		542.009
1410		540.493
1420		538.965
1430		537.427
1440		535.878
1450		534.318
1460		532.747
1470		531.164
1480		529.571
1490		527.967
